val/rec_loss_step/epoch_0,val/aeloss_step/epoch_0,created_at,val/rec_loss_epoch,val/rec_loss,val/aeloss_epoch,val/total_loss,val/quant_loss,val/nll_loss,val/p_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,epoch,train/aeloss_epoch,train/total_loss_epoch,train/quant_loss_epoch,train/nll_loss_epoch,train/rec_loss_epoch,train/p_loss_epoch,train/d_weight_epoch,train/disc_factor_epoch,train/g_loss_epoch,train/discloss_epoch,train/disc_loss_epoch,train/logits_real_epoch,train/logits_fake_epoch,train/aeloss_step,train/total_loss_step,train/quant_loss_step,train/nll_loss_step,train/rec_loss_step,train/p_loss_step,train/d_weight_step,train/disc_factor_step,train/g_loss_step,train/discloss_step,train/disc_loss_step,train/logits_real_step,train/logits_fake_step,val/rec_loss_step/epoch_1,val/aeloss_step/epoch_1,val/rec_loss_step/epoch_2,val/aeloss_step/epoch_2,val/rec_loss_step/epoch_3,val/aeloss_step/epoch_3,val/rec_loss_step/epoch_4,val/aeloss_step/epoch_4,val/rec_loss_step/epoch_5,val/aeloss_step/epoch_5,val/rec_loss_step/epoch_6,val/aeloss_step/epoch_6,val/rec_loss_step/epoch_7,val/aeloss_step/epoch_7,val/rec_loss_step/epoch_8,val/aeloss_step/epoch_8,val/rec_loss_step/epoch_9,val/aeloss_step/epoch_9,val/rec_loss_step/epoch_10,val/aeloss_step/epoch_10,val/rec_loss_step/epoch_11,val/aeloss_step/epoch_11,val/rec_loss_step/epoch_12,val/aeloss_step/epoch_12,val/rec_loss_step/epoch_13,val/aeloss_step/epoch_13,val/rec_loss_step/epoch_14,val/aeloss_step/epoch_14
1.2529429197311401,1.377959966659546,2022-01-26 16:30:30.753192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1565518379211426,1.312363624572754,2022-01-26 16:30:31.387588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3379201889038086,1.4893823862075806,2022-01-26 16:30:32.022342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5176247358322144,1.6896448135375977,2022-01-26 16:30:32.655163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-01-26 16:30:32.824279,1.4087104797363281,1.4087104797363281,1.546126365661621,1.546126365661621,0.1374158263206482,1.4087104797363281,0.6574480533599854,0.0,0.0,-0.25216418504714966,0.0,-0.6455525159835815,0.25216418504714966,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-01-26 16:30:39.834100,,,,,,,,,,,,,,0.0,1.5928875207901,1.5928875207901,0.08645431697368622,1.5064332485198975,1.5064332485198975,0.7316188216209412,0.2564120292663574,0.0,-0.07568211853504181,0.0,0.0,0.012111322954297066,0.07650326192378998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-01-26 16:31:34.803991,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.3426179885864258,1.3426179885864258,0.23484563827514648,1.1077723503112793,1.1077723503112793,0.5489024519920349,0.25073155760765076,0.0,-0.09683587402105331,0.0,0.0,0.0473119355738163,0.07809679955244064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-01-26 16:31:36.678508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3358898162841797,1.6022213697433472,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-01-26 16:31:37.334265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.254352331161499,1.5090651512145996,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-01-26 16:31:38.011826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.429337739944458,1.6380360126495361,,,,,,,,,,,,,,,,,,,,,,,,,,
